case,wirelength_unit_um,full_level_count,selected_level_count,full_distinct_length_idx,selected_distinct_length_idx,full_distinct_idx_ratio,selected_distinct_idx_ratio,full_tail_idx1_count,selected_tail_idx1_count,max_full_rel_error_ratio,mean_full_rel_error_ratio,max_selected_rel_error_ratio,mean_selected_rel_error_ratio,path_requested_um,path_aligned_um,path_delta_um,path_rel_error_ratio,path_extra_cap_pf,path_extra_res_ohm,path_extra_cap_to_maxcap_ratio,network_extra_length_um,network_extra_cap_pf,source_abs_delta_um,source_rel_error_ratio,l3_mean_abs_arrival_delta_ns,l3_max_abs_arrival_delta_ns,l3_mean_abs_combined_delay_delta_ns,l3_max_abs_combined_delay_delta_ns,l3_classification,latency_avg_delta_ns,abs_latency_avg_delta_ns,skew_max_delta_ns,abs_skew_max_delta_ns,buffer_count_delta,abs_buffer_count_delta,trunk_wire_length_ratio,leaf_wire_length_ratio,clock_total_cap_ratio,htree_selected_depth_minus_innovus_max_depth,repair_recommendation,detail_path
iwls2005__ac97_ctrl,42.6972,4,3,3,3,0.75,1.0,2,1,2.6707,1.283375,0.9901000000000001,0.8209333333333334,150.671,256.1832,105.5122,0.700282071533341,0.021176298540000003,96.43815080000002,0.1411753236,551.2984,0.11064558888,2.842170943040401e-14,1.3313149073196373e-16,0.0177945,0.0331971,0.00368668,0.0089866,l3_aligned_under_50ps,0.042,0.042,0.03,0.03,65.0,65.0,1.62535,0.887438,1.0613,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log
iwls2005__des,48.016,4,3,3,3,0.75,1.0,2,1,2.5288,1.22255,0.9625,0.7871333333333334,173.155,288.096,114.941,0.6638041061476712,0.0230686587,105.05607400000001,0.153791058,608.5699999999999,0.12213999899999999,2.842170943040401e-14,-1.183843278507331e-16,0.0207194,0.0438666,0.00380191,0.010602,l3_aligned_under_50ps,0.082,0.082,0.032,0.032,49.0,49.0,1.54463,0.886409,1.03696,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log
iwls2005__mem_ctrl,41.0123,3,2,2,2,0.6666666666666666,1.0,2,1,1.5421,0.6674666666666668,0.2339,0.23015000000000002,99.919,123.0368,23.1177,0.23136440516818624,0.00463972239,21.1295778,0.0309314826,45.8313,0.00919834191,0.0002000000000066393,1.2191479375469483e-06,0.00504613,0.019045,0.00235027,0.0071925,l3_aligned_under_50ps,0.076,0.076,0.01,0.01,39.0,39.0,1.6277,0.834147,1.04178,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top/work/icts-native/cts_detail.log
iwls2005__pci,26.0482,4,3,3,2,0.75,0.6666666666666666,1,0,0.7295,0.3775,0.7295,0.33166666666666667,187.81300000000002,234.43380000000002,46.6208,0.2482298882398982,0.009356794560000001,42.611411200000006,0.06237863040000001,386.639,0.0775984473,0.0,0.0,0.0172198,0.0456501,0.00442665,0.0128234,l3_aligned_under_50ps,0.04,0.04,0.03,0.03,37.0,37.0,1.6402,0.954286,1.1112,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log
iwls2005__sasc,19.1193,2,2,2,2,1.0,1.0,1,1,0.7897,0.7881,0.7897,0.7881,32.087,57.358000000000004,25.271,0.7875775236076915,0.0050718897,23.097694,0.033812598000000006,50.579899999999995,0.01015138593,9.999999999621423e-05,-1.7434359635310547e-06,0.00397933,0.0112641,0.00149774,0.0048578,l3_aligned_under_50ps,0.0375,0.0375,0.033,0.033,3.0,3.0,1.78225,0.773361,1.04348,-1.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__sasc/cts_baseline/cts/ecc-tools/sasc_top/work/icts-native/cts_detail.log
iwls2005__simple_spi,21.118,2,1,2,1,1.0,1.0,1,0,1.0816,0.9766999999999999,0.8718,0.8718,22.564,42.236,19.672,0.8718312355965254,0.0039481704,17.980208,0.026321136000000002,19.672,0.0039481704,0.0,0.0,0.00251773,0.00955043,0.00126629,0.005204,l3_aligned_under_50ps,0.048,0.048,0.009,0.009,2.0,2.0,1.64315,0.875191,1.05769,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__simple_spi/cts_baseline/cts/ecc-tools/simple_spi_top/work/icts-native/cts_detail.log
iwls2005__spi,25.1037,2,2,2,2,1.0,1.0,1,1,0.45649999999999996,0.362,0.45649999999999996,0.362,56.846000000000004,75.31099999999999,18.465,0.3248249656967948,0.0037059255,16.877010000000002,0.02470617,42.0681,0.00844306767,9.99999999891088e-05,1.3278272760832918e-06,0.00607116,0.0257097,0.00213619,0.0073203,l3_aligned_under_50ps,0.093,0.093,0.023,0.023,12.0,12.0,1.83484,0.889577,1.07711,-1.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/cts_detail.log
iwls2005__ss_pcm,15.678,2,1,2,1,1.0,1.0,1,0,0.8928,0.87095,0.8491,0.8491,16.957,31.356,14.399,0.8491478445479742,0.0028898793,13.160686,0.019265861999999998,14.399,0.0028898793,7.105427357601002e-15,1.5107002078498538e-16,0.00337067,0.0103275,0.00197266,0.0056323,l3_aligned_under_50ps,0.041,0.041,0.01,0.01,2.0,2.0,1.70061,0.842569,1.03409,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ss_pcm/cts_baseline/cts/ecc-tools/pcm_slv_top/work/icts-native/cts_detail.log
iwls2005__systemcaes,41.599,3,2,2,2,0.6666666666666666,1.0,2,1,1.6721000000000001,0.7338333333333334,0.337,0.2647,100.888,124.797,23.909,0.23698556815478547,0.0047985363,21.852826,0.031990242,55.367000000000004,0.011112156900000001,0.0,0.0,0.00582736,0.0176055,0.00195666,0.0073211,l3_aligned_under_50ps,0.0645,0.0645,0.01,0.01,12.0,12.0,1.54457,0.945715,1.07134,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes/work/icts-native/cts_detail.log
iwls2005__systemcdes,30.1087,2,1,2,1,1.0,1.0,1,0,0.9659,0.93775,0.9659,0.9659,30.631,60.2173,29.5863,0.9658940289249454,0.00593797041,27.041878200000003,0.039586469400000004,29.5863,0.00593797041,0.00010000000000331966,1.1071009455009595e-06,0.0044635,0.0170835,0.0016901,0.0045437,l3_aligned_under_50ps,0.0565,0.0565,0.009,0.009,4.0,4.0,1.72237,0.903591,1.08589,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcdes/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log
iwls2005__tv80,25.6137,3,3,2,2,0.6666666666666666,0.6666666666666666,1,1,1.1599,0.6934999999999999,1.1599,0.6934999999999999,89.31700000000001,128.0687,38.7517,0.4338670129986452,0.0077774661899999995,35.4190538,0.051849774599999995,318.2347,0.06386970429,0.00019999999999242846,-1.9520765213257377e-06,0.00256368,0.0109198,0.00104307,0.0054995,l3_aligned_under_50ps,0.0585,0.0585,0.011,0.011,9.0,9.0,1.74999,0.882076,1.08333,-1.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/cts_detail.log
iwls2005__usb_funct,47.8333,2,1,2,1,1.0,1.0,1,0,0.1943,0.1221,0.0499,0.0499,91.121,95.6667,4.5457,0.049886414767177714,0.0009123219900000001,4.1547698,0.0060821466,4.5457,0.0009123219900000001,0.00010000000000331966,-6.968641115213913e-07,0.0127759,0.0427084,0.00366026,0.0145695,l3_aligned_under_50ps,0.083,0.083,0.038,0.038,-7.0,7.0,1.47631,1.47853,1.19017,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;branch_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top/work/icts-native/cts_detail.log
iwls2005__usb_phy,16.4317,2,1,2,1,1.0,1.0,1,0,0.8364,0.7528,0.6692,0.6692,19.688,32.8633,13.1753,0.6692045916294189,0.00264428271,12.0422242,0.0176285514,13.1753,0.00264428271,9.999999999621423e-05,2.0286033065465915e-06,0.00390294,0.0140347,0.00185603,0.0053331,l3_aligned_under_50ps,0.0345,0.0345,-0.003,0.003,1.0,1.0,1.42081,0.933129,1.01684,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;buffer_distribution_not_count_repair,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy/work/icts-native/cts_detail.log
iwls2005__vga_lcd,72.3914,6,4,3,3,0.5,0.75,4,2,5.7135,1.68035,1.0328,0.3963,447.65,579.1314,131.4814,0.29371473249190216,0.026388316980000003,120.17399960000002,0.17592211320000004,2577.5653,0.51731735571,0.0001999999999497959,-3.946797173102496e-07,0.0264457,0.0783148,0.00459459,0.0237523,cumulative_arrival_gap,0.181,0.181,0.051,0.051,265.0,265.0,1.60159,0.888243,1.00462,-3.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top/work/icts-native/cts_detail.log
iwls2005__wb_conmax,64.048,3,2,2,2,0.6666666666666666,1.0,2,1,2.1202,0.9163333333333333,0.3961,0.3144,149.794,192.144,42.35,0.2827216043366223,0.008499645,38.7079,0.0566643,96.866,0.0194410062,0.0,0.0,0.032898,0.0747031,0.0069403,0.0300619,cumulative_arrival_gap,0.0155,0.0155,0.053,0.053,26.0,26.0,1.56475,0.907514,1.03364,-3.0,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__wb_conmax/cts_baseline/cts/ecc-tools/wb_conmax_top/work/icts-native/cts_detail.log
iwls2005__wb_dma,29.6883,3,2,2,2,0.6666666666666666,1.0,2,1,1.5988,0.6945,0.2741,0.24235,72.348,89.0648,16.7168,0.2310609830264831,0.00335506176,15.2791552,0.0223670784,35.8757,0.00720025299,0.0002000000000066393,1.6841679789701255e-06,0.00598639,0.0171903,0.00180188,0.0065178,l3_aligned_under_50ps,0.0535,0.0535,0.003,0.003,11.0,11.0,1.76902,0.83625,1.08773,-2.0,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__wb_dma/cts_baseline/cts/ecc-tools/wb_dma_top/work/icts-native/cts_detail.log
