case,trace_path,timing_path,trace_row_count,timing_clock_row_count,matched_count,unmatched_count,mean_abs_arrival_delta_ns,max_abs_arrival_delta_ns,mean_abs_combined_delay_delta_ns,max_abs_combined_delay_delta_ns,classification
iwls2005__ac97_ctrl,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__ac97_ctrl/eval/ecc-tools/iwls2005__ac97_ctrl/timing_paths.rpt,3276,1250,1250,0,0.0177945,0.0331971,0.00368668,0.0089866,l3_aligned_under_50ps
iwls2005__des,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__des/eval/ecc-tools/iwls2005__des/timing_paths.rpt,3440,815,815,0,0.0207194,0.0438666,0.00380191,0.010602,l3_aligned_under_50ps
iwls2005__mem_ctrl,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__mem_ctrl/eval/ecc-tools/iwls2005__mem_ctrl/timing_paths.rpt,1636,1300,1300,0,0.00504613,0.019045,0.00235027,0.0071925,l3_aligned_under_50ps
iwls2005__pci,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__pci/eval/ecc-tools/iwls2005__pci/timing_paths.rpt,2566,1130,1043,87,0.0172198,0.0456501,0.00442665,0.0128234,l3_aligned_under_50ps
iwls2005__sasc,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__sasc/cts_baseline/cts/ecc-tools/sasc_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__sasc/eval/ecc-tools/iwls2005__sasc/timing_paths.rpt,200,839,839,0,0.00397933,0.0112641,0.00149774,0.0048578,l3_aligned_under_50ps
iwls2005__simple_spi,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__simple_spi/cts_baseline/cts/ecc-tools/simple_spi_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__simple_spi/eval/ecc-tools/iwls2005__simple_spi/timing_paths.rpt,224,900,900,0,0.00251773,0.00955043,0.00126629,0.005204,l3_aligned_under_50ps
iwls2005__spi,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__spi/eval/ecc-tools/iwls2005__spi/timing_paths.rpt,407,1100,1100,0,0.00607116,0.0257097,0.00213619,0.0073203,l3_aligned_under_50ps
iwls2005__ss_pcm,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__ss_pcm/cts_baseline/cts/ecc-tools/pcm_slv_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__ss_pcm/eval/ecc-tools/iwls2005__ss_pcm/timing_paths.rpt,151,723,723,0,0.00337067,0.0103275,0.00197266,0.0056323,l3_aligned_under_50ps
iwls2005__systemcaes,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__systemcaes/eval/ecc-tools/iwls2005__systemcaes/timing_paths.rpt,1150,1100,1100,0,0.00582736,0.0176055,0.00195666,0.0073211,l3_aligned_under_50ps
iwls2005__systemcdes,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__systemcdes/cts_baseline/cts/ecc-tools/des/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__systemcdes/eval/ecc-tools/iwls2005__systemcdes/timing_paths.rpt,330,900,900,0,0.0044635,0.0170835,0.0016901,0.0045437,l3_aligned_under_50ps
iwls2005__tv80,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__tv80/eval/ecc-tools/iwls2005__tv80/timing_paths.rpt,619,1076,1076,0,0.00256368,0.0109198,0.00104307,0.0054995,l3_aligned_under_50ps
